sender_norm,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
BaumgärtnerKlaus,0.0077728317318020825,0.006318077008432904,0.0075224531196281235,0.002680543521272529,0.0013443676925463377,0.035545345032906614,0.002544713970614118,0.004065920294985217,0.003322360760791091,0.002999508705212188,0.0003850922200450443,0.0020808283211738604,0.01403074989558925,0.002667193094970893,0.004195387283949383,0.004808194830422129,0.006433145719901664,0.0006399465251188421,0.0036945356024473486,0.044554290204092885,0.0032784871126118214,0.01151539196196147,0.00010276654982655909,0.009302956720671779,0.019425358257690678,0.016977494534480473,0.11847344349677731,0.007786765630015282,0.005803405967038917,0.0008236393023855194,0.0031682938012662456,0.0036252907858467637,0.0007591099843351511,0.008033415486842372,0.01362830557973512,0.006789058966192589,0.004166075232361115,0.02014425837305403,0.01857017030013853,0.0005766952656617499,0.009603894028603366,0.37066107623410016,0.11657355579566754,0.004691246446503762,0.0012570060498435236,0.008704033189530131,0.00020818194759318295,0.0005218817608154872,0.0004816365209344469,0.000613009653482427,0.007608366959658934,0.003924226621066072,0.010305080393033265,0.0004502759183532581,0.003870297891958352,0.005777250990866627,0.010984834795617815,0.001883046092545325,0.0039036422045314076,0.007421587660496126
BaumgärtnerKlaus+BaumannSabine,0.030475862030869497,0.00091268115041695,0.0006199132747587,0.0010664963645353833,0.0003679011161865666,0.0008164009830631333,0.0097070512041059,0.00069120596233535,0.00040398565054273333,0.00043954896826053333,0.00048908876246355,0.00041630309058374995,0.0010413673069055334,0.0006158538274141834,0.0008372661332668,0.00048849885935245,0.0006181429280290833,0.0007224866114527833,0.0005531131576486666,0.09884273725179767,0.009444691930653584,0.0009467858389807167,0.03569471425889105,0.0009666927849136666,0.022952887929135867,0.018930391838842084,0.14659020232957123,0.00035836663615435,0.054667753707758504,0.00783344562601275,0.0009144227724801834,0.00045977830484175003,0.00038469179993305,0.00041088060611315004,0.0004898956752216833,0.0006540304773060833,0.000533953366886,0.0012997211550174832,0.045044899431674425,0.01520198208684303,0.0005161698285049834,0.36043235162386206,0.09661765434500393,0.01552362766367145,0.0005223087107930166,0.0006604937297362,0.00026440277371403333,0.0003109780841787333,0.0002035561157466062,0.0005614806919082666,0.0004835580447956667,0.0005605572374107667,0.0025676348990151666,0.0005718757227781999,0.0027343202203822,0.00037787399262433335,0.0005988758559869501,0.0005969942615070999,0.0008132883640505499,0.0011759046431071667
BaumgärtnerKlaus+BaumannSabine+KrienkeGisela,0.0006905748020673,0.0007555154329217,0.0005131628345115,0.0008828433261641,0.0003045477283508,0.0006758149238372,0.0004225852657538,0.0005721787632332,0.0003344184258922,0.0003638576614559,0.0004048665932686,0.0003446147754507,0.0008620415479686,0.0295029652723894,0.0006930870489182,0.0004043782727811,0.0005116973454136,0.0005980728152242,0.0004578658456622,0.0006124974421231,0.0004583046047922,0.0007837472185055,0.000108043582198,0.0008002261442155,0.0006003736498691,0.00074791291377,0.0175927740998428,0.0002966551069178,0.0004859748755902,0.1743091669032837,0.0007569571438045,0.0003806034614299,0.0003184470191316,0.0003401260548274,0.0004055345538609,0.0005414049791432,0.0004420054133457,0.0010759062906711,0.0004881157023446,0.0003155289576434,0.0004272842396996,0.5021673512838042,0.0728476608172391,0.000581786453061,0.0004323659928479,0.0295399180845659,0.0002188720299055,0.0002574269686518,0.0001685033013357,0.0004647924719717,0.0004002882774446,0.0004640280383859,0.0021254824770163,0.0004733974554803,0.0003602416663333,0.0003128032533563,0.0004957481058918,0.1454600047231024,0.0006732383047191,0.0009734112566102
BaumgärtnerKlaus+BaumgärtnerSabine,0.0016606964681546894,0.011050806681614886,0.002242520948641607,0.0019668713061724787,0.020522721171690333,0.009897412429478612,0.008844488584429067,0.015364328592792617,0.013437938795844791,0.0002549924215561786,0.0011880992918268337,0.00024150695561718323,0.009634251155404871,0.002900859036888314,0.0011645919414238787,0.0002833893742639648,0.007878838109116184,0.0010498722577085642,0.005419375715654677,0.008105457542376793,0.0015019964349803911,0.014709897123511681,7.571723115032335e-05,0.005422436400251293,0.03923225960962241,0.01102202299100298,0.1258075602245259,0.0004468027925299116,0.022672693962199487,0.019495274412905696,0.0012520225736853464,0.00087732361584758,0.00022316852205553356,0.002646558888953162,0.0062762413884358435,0.011331238152930342,0.006225363060737163,0.015105604686118932,0.0011448053356049263,0.0013826210713865944,0.015620803886327863,0.3334368760535464,0.12170995091547494,0.009493585016143639,0.014763600533402466,0.0022148405062090795,0.0001533861034922229,0.023583066555463442,0.0012172967682178104,0.0003257278065134007,0.0017845709429900028,0.0006915266832513542,0.017870551933097865,0.0008095704035381089,0.016540283671554426,0.016858982459441455,0.001481536426662164,0.004430088503976432,0.0013761749044334999,0.005676952667168776
BaumgärtnerKlaus+BierwischManfred,0.1038340734996238,0.0013369527761219,0.0009080879705522,0.00156227098,0.0518449442205024,0.0011959155289185,0.0007478027841375,0.0010125219851358,0.000591783600176,0.0006438789856555,0.0007164479933073,0.0006098269613761,0.0015254603552334,0.0009021414366567,0.0012264801137971,0.0007155838661128,0.0009054946552704,0.001058343848179,0.0008102349558661,0.0010838695279159,0.0008110113797634,0.0013869114698379,0.0001911928742516,0.0014160724168094,0.0010624153828319,0.0013234994320306,0.0311320022696431,0.0005249579974968,0.0008599764223653,0.0006196925891642,0.001339504013705,0.0006735121907339,0.0005635207538107,0.0006018837649344,0.0007176300098874,0.0009580649955389,0.0007821684888,0.0019039133278814,0.0008637648086084,0.0005583569805277,0.0007561180428179,0.426876294517701,0.0262984743983369,0.0010295236597908,0.0007651106638593,0.0009675327743742,0.0003873138194755,0.0004555402648185,0.0002981818063403,0.0008224922465448,0.000708346250068,0.3086572566126929,0.0037612331587405,0.000837719541831,0.0006374801557878,0.0005535336006803,0.0008772710358359,0.0008745147578496,0.0011913559687392,0.0017225391105519
BaumgärtnerSabine,0.0002257876456559,0.0002470203812033,0.000167781720236,0.0002886510128966,9.957373823711596e-05,0.0002209618133988,0.0001381668313958,0.0001870773382666,0.0001093401450793,0.000118965482795,0.0001323736033014,0.000112673903789,0.0002818497445762,0.0001666830164553,0.0002266090400944,0.0001322139439381,0.0001673025696325,0.0001955435565793,0.0001497020322908,0.0002002597763678,0.0001498454872658,0.0002562509357798,3.5325508517972656e-05,0.0002616388211007,0.00967578734489,0.0002445346911736,0.3564932509551508,9.699319749617776e-05,0.0001588924511565,0.4646095810167454,0.0002474917573743,0.000124440624285,0.000104118196176,0.0001112062891895,0.0001325919970932,0.0001770156617664,0.0001445163671592,0.0003517741272774,0.0001595924075279,0.0001031641181654,0.0001397031896021,0.1357482053473982,0.0048590042123915,0.0001902186310851,0.0001413646998045,0.0001787649638949,7.156154580845769e-05,8.416731830677453e-05,5.509318263563178e-05,0.0001519667350313,0.0001308766950044,0.0001517167988056,0.0006949394662704,0.009634271703283,0.0001177832111236,0.0001022729325156,0.0001620878684432,0.0001615786082427,0.0002201193720548,0.0097977542668151
BierwischHedwig,0.0005476673294788,0.0005991691534205,0.0004069689747198,0.0007001478266236,0.0002415246553819,0.0005359618588049,0.0003351355179477,0.000453772153728,0.0002652139141026,0.0002885609975392,0.0003210835455722,0.0002733002322196,0.0006836507660899,0.0004043039743222,0.0005496596922463,0.0003206962780719,0.0004058067537725,0.0004743076934854,0.0003631151385812,0.0004857472897012,0.0003634631009457,0.0006215586564415,8.568505533734662e-05,0.0006346274351014,0.0004761323936653,0.0005931398987349,0.0139521273879977,0.0002352653321488,0.0003854072889881,0.0002777216149007,0.0006003125168139,0.0003018414235325,0.0002525476284773,0.000269740406942,0.0003216132784739,0.0004293666930885,0.0003505368623609,0.0008532583627687,0.0003871050932925,0.0002502334303083,0.0003388620867488,0.90410195651304,0.0117859321009165,0.0234547125814304,0.0003428922224668,0.0004336097756646,0.0231668996285629,0.0002041550604442,0.0001336332469338,0.000368608369614,0.0003174526659146,0.0003680021278293,0.0016856353700667,0.0003754326387942,0.0002856932960443,0.0002480717829627,0.0003931580481001,0.0003919227937388,0.00053391844496,0.0007719736396352
BierwischManfred,0.00857877073032872,0.024387069022482135,0.003015390745931916,0.010717034419057046,0.001954638182601385,0.006809340715321011,0.004777803062922561,0.0030814218426327192,0.0017244257361812027,0.00225968046179097,0.0014298987191479282,0.0019119127825055371,0.005765141107790462,0.009358199582404077,0.007371506871887816,0.005064595454811372,0.001822939750344655,0.0015850195202853183,0.004342101081186547,0.00480631363705418,0.013223817741483151,0.02097008681216346,6.28884276525314e-05,0.0191373785374981,0.0036712169792393933,0.007343657843949879,0.09328027841291398,0.0029702501810317176,0.005888370649181458,0.0033728926540631176,0.02085380538144383,0.00782104723891738,0.002237902544808552,0.01207764808369729,0.0028518051635844435,0.004321224648455706,0.001767269638229519,0.007341866144502757,0.009918226766129698,0.0018108756990761789,0.0031237780695458537,0.3146956833791734,0.19007210470599017,0.006134791716673086,0.009917525605085426,0.009917009468128117,0.0003002582241542614,0.004020324810988765,0.00039155438494047263,0.010444850716081922,0.005004218215159359,0.0062709420314091425,0.060699244828384014,0.009994863417028224,0.0036959438859688817,0.0022589870996401517,0.002311071690967668,0.004920576089676473,0.002767260235914343,0.0013732984503979665
BierwischManfred+BaumgärtnerKlaus,0.0007303430582609665,0.0007990234369855,0.0005427144355992667,0.0548156537500273,0.0003220857735386333,0.0007147332002500666,0.0004469207599853333,0.11510431510166826,0.0003536766403491667,0.0003848111985029,0.0004281817190988,0.036418249604526505,0.0009116840907121,0.0005391605180367333,0.0007329999783262333,0.0004276652776109,0.0005411645531152333,0.0006325141427488334,0.00048423304903843335,0.0006477694432494,0.00048469707506993337,0.0008288810115186,0.00011426550753334943,0.0008463089121079334,0.0006349474759752,0.0007909831101865334,0.1761373804534935,0.00031373863828583335,0.0005139607987636,0.00037035631423326665,0.006701204567117467,0.00040252134189273334,0.0003367854852948334,0.00035971295554553337,0.00042888814565870004,0.0005725829657286666,0.00046745925913373334,0.0011378647010847002,0.0005162249096960334,0.0003336993808713,0.0004518903345947667,0.3400487975577313,0.12912933117401415,0.0006152898948982333,0.0004572647315819,0.0005782413385004,0.00023147625313060002,0.000272251462117,0.00017820693146663332,0.0004915585602316,0.00042333975097226664,0.0004907501050705333,0.0022478830213572,0.1126131305889697,0.0003809869684142,0.0003308167109578,0.0005242968418485667,0.0005226495654830667,0.0007120082009002667,0.0010294672669348335
BierwischManfred+BaumgärtnerKlaus+BaumgärtnerSabine,0.0008076575340888,0.2043362655788656,0.0006001664530285,0.2383939573251695,0.0003561819321467,0.0007903952088213,0.0004942320117375,0.0006691881713429,0.0003911170236757,0.0004255475014887,0.0004735092467541,0.0004030421019097,0.0010081954175423,0.0005962363160026,0.0008105957170207,0.000472938134516,0.0005984524992215,0.0006994724014017,0.0005354941980854,0.0007163426355261,0.0005360073461411,0.0009166267636064,0.0001263617104344,0.000935899590335,0.0007021633284817,0.0008747169717753,0.0205755212972212,0.0003469511650452,0.0005683689420368,0.0004095624160516,0.00088529459567,0.0004451324493798,0.0003724377626287,0.0003977923461715,0.0004742904559775,0.0006331968804671,0.0005169447265206,0.0012583196187187,0.0005708727328676,0.0003690249616711,0.0004997276679625,0.4177628719620957,0.0512897597616649,0.000680424786191,0.0005056710012615,0.0006394542513671,0.0002559804432848,0.0003010721359755,0.0001970720049953,0.0005435951915012,0.0004681547054971,0.0005427011528786,0.0024858450250385,0.0005536590973093,0.0004213184365195,0.0003658371309009,0.0344885753516225,0.0005779775058803,0.0007873817396983,0.001138447178806
