sender_norm,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
BaumgärtnerKlaus,0.01620636750338461,0.016241731434449923,0.005956310877735087,0.0058705574768852095,0.0022272222490287217,0.08702867324486266,0.006989932387848426,0.002997328610148771,0.005951966598600156,0.015115613113401583,0.006779338067456029,0.012670960776845592,7.722726456580581e-05,0.0011339606585017373,0.006572356764984658,0.009586170483517602,3.688078350221415e-05,0.014261920824419289,0.0004500152312623243,0.0037716884721605364,0.004604232665503377,0.5135272881377788,0.0007006019966627182,0.016067830627394072,0.04943829485487241,0.009227014819495168,0.0057046718317010385,0.016102590631259534,0.00223526649896079,0.012396442425053328,0.009727625145265659,0.01605242436342977,0.002590188714080989,0.015669763735752233,0.016292892816695246,0.046254031011883814,0.009539393752151975,0.01720316496501197,0.00499704315494745,0.011743015028537404
BaumgärtnerKlaus+BaumannSabine,0.00022489011753975573,0.0002579781208025505,0.00024390766348030015,0.00032350714742889684,0.11456498306066798,0.2099767978909807,0.00020556854332913604,0.002589283330293699,0.00024845338282254915,0.00030202834903494995,0.022132728072732834,0.000263044516128984,0.00010614323605781304,0.00030495141874984093,0.00025781596924448323,0.00041276570363065515,5.068994391141372e-05,0.00017748168951293463,0.007123006554518294,0.0003208705895817931,0.0025115242927614225,0.4602878880783828,0.03851138631889781,0.00025843908751852694,0.010249986579408234,0.0024909530453023853,0.00020911929667505175,0.00023480685968804073,0.00028705671871972414,0.00022976905337151243,0.008788684658759155,0.0005884184213071499,0.00034057805782774635,0.00026683759052066207,0.03427886864455491,0.0276751766421231,0.03334187914586027,0.00033781721458136415,0.0002755547113548529,0.018748360281934152
BaumgärtnerKlaus+BaumannSabine+KrienkeGisela,0.0001750784446122,0.000200837674097,0.0001898837299668,0.000251852454934,0.0001907546527072,0.5155763208601337,0.0001600364712375,0.000220664399309,0.000193422602554,0.0002351310682582,9.048163155808325e-05,0.0002047818963832,8.26332116253403e-05,0.0002374066973733,0.0002007114380361,0.0003213408315647,3.946245675255702e-05,0.0001381706696897,0.0001599783157621,0.0002497998772038,0.0001601284740552,0.4717541099144628,0.0001993521792599,0.0002011965397356,0.0003282104198008,0.0002572058285031,0.0001628007562128,0.0001827986939941,0.0002234755549898,0.0001788767284413,0.0001139787619161,0.0004580876345774,0.0002651422716384,0.000207734829896,0.0001903818797292,0.0050385288612917,0.0002468831002834,0.0002629929369025,0.000214521166147,0.0002348440844025
BaumgärtnerKlaus+BaumgärtnerSabine,0.02411333475029273,0.013328222009283793,0.016055097408462785,0.0056793885424101746,0.014411837643622869,0.04571180636063225,0.0024521606299830636,0.0021886407851769633,0.0011739712357404831,0.0010106493826195968,0.0026598070192360235,0.04024766439477618,5.93442564696337e-05,0.00017049711198940305,0.006196051357957804,0.014372927967901001,0.011810776626845593,0.08321204711695832,0.0001148907807578813,0.0003318399937296863,0.00011499861914496473,0.4913019584779584,0.0001431677000213915,0.032309284356335746,0.009916316769103891,0.00018471614925707412,0.0007807817674062059,0.01691487474335251,0.0010896784942422732,0.013788258057480043,8.185552450640876e-05,0.0019155128598925507,0.003174136481145367,0.06700475668785909,0.00013672554745966365,0.053835129709603094,0.0007384937615738886,0.0033122476784944012,0.00015406153109133203,0.017802089709224315
BaumgärtnerKlaus+BierwischManfred,0.0002879691956475,0.0003303380013087,0.0003123209433703,0.0004142471623496,0.0003137534379391,0.0005677286690679,0.0002632281432395,0.0003629490181833,0.0003181416844369,0.0003867438093137,0.0001488242754175,0.0003368254619536,0.0001359151866937,0.0003904867662912,0.4240564825449028,0.0005285417116844,6.490788717296291e-05,0.0002272632516285,0.0002631324890571,0.0004108710805065,0.0002633794695634,0.5364441145165482,0.0003278946579586,0.0003309282638594,0.0189627256943352,0.0004230523963927,0.0002677748418502,0.000300667469325,0.0003675728097759,0.0002942166165766,0.0001874723782392,0.0007534629860203,0.0004361062657655,0.000341682449862,0.0003131403005831,0.0082873771619717,0.0004060735629966,0.0004325710379055,0.0003528446223151,0.0003862717779893
BaumgärtnerSabine,6.532530149157768e-05,7.493658994009373e-05,7.084945228924703e-05,9.3971234359526e-05,7.117441114250214e-05,0.0001287882420509,5.97128376162878e-05,8.23343413019697e-05,7.216987708059186e-05,8.773214748407617e-05,3.376052302767779e-05,7.640825888577652e-05,3.083211913721343e-05,0.4598004461991923,7.48894887177983e-05,0.0042990975226845,1.472423912988581e-05,5.155426571653135e-05,5.96911386345784e-05,9.32053761788926e-05,5.974716572457558e-05,0.4184145091587578,7.438232183294227e-05,7.50704899532562e-05,0.0001224619322707,9.596868609139454e-05,6.0744248135259234e-05,6.820588236252682e-05,8.338324022722004e-05,6.674251785329652e-05,4.252777663348569e-05,0.0001709217425629,9.892993321539816e-05,0.0042567088304232,7.10353220203325e-05,0.1105391448999649,9.211706783729806e-05,9.8127973042966e-05,8.004217701338495e-05,8.762506801500846e-05
BierwischHedwig,0.0001558736496847,0.0001788072845005,0.0001690549060521,0.0002242261257207,0.0001698302950867,0.0003073034929284,0.0001424816682014,0.000196459166358,0.0001722055908046,0.0002093389500052,8.055647382305964e-05,0.0001823188551241,7.356896681221922e-05,0.0002113649596393,0.0001786948955906,0.0002860921475494,3.513372061975144e-05,0.0001230143814198,0.0001424298919463,0.0002223987004042,0.0001425635789987,0.639391245273407,0.0001774847373283,0.0001791267852647,0.2196772383727275,0.0002289922742789,0.0001449427318053,0.0001627470454948,0.0001989619593019,0.0001592552902076,0.0001014761448547,0.0004078388498091,0.0002360581490058,0.000184947873933,0.0101415452388485,0.1241504018741556,0.0002198018720802,0.0002341445802028,0.0001909897998924,0.0002090834461304
BierwischManfred,0.007448196959332666,0.0055614501997862205,0.005332242378673765,0.014924435897015738,0.00638737123741361,0.0024283579908420303,0.017619061961623234,0.03474478349815084,0.014338363417175317,0.0193646866190644,0.0028751173699231884,0.003561508078343688,0.00014223578972466698,0.01403702202278481,0.0163184158280987,0.003829853254423643,0.001385050602961496,0.0005245232008264267,0.0010146237342997506,0.02111247213278256,0.021372674775177694,0.5582377643598857,0.0074209638988511515,0.007241368941653023,0.014478698600013135,0.02023408324133575,0.0233159431303393,0.0013219605257046242,0.0009419153487399633,0.006163348280397915,0.0073085325981069645,0.004317762727083618,0.0005938550999043219,0.010944675584103844,0.007219378250316306,0.04177827464839199,0.036595328238575704,0.01803497997439533,0.013253554561801092,0.006275165041974781
BierwischManfred+BaumgärtnerKlaus,0.00016996322870652873,0.00019496985828865483,0.00018433595235260093,0.04921319470423044,0.0001851814295970195,0.006835301013050167,0.0066555807745841584,0.013214657396444436,0.00018777143073045945,0.00022826131234426666,0.013088278140689013,0.00019879884338148924,8.021894115715022e-05,0.00023047045506653335,0.03139928958744237,0.0003119523101142,3.830949365133407e-05,0.00013413377749060048,0.06949850933594903,0.00024250154697279998,0.00015545004708355728,0.5349572053850832,0.1321750375207046,0.00019531823905449155,0.00031862119159229997,0.05052351478927076,0.003625204506953267,0.00017745791781162594,0.00021694633481113333,0.00017365053918369085,0.00011064867763787417,0.00044470382162560004,0.00025739568713936667,0.0002016655018962719,0.00018481954781854334,0.018917000665048835,0.0643821346691994,0.00025530914889020003,0.00020825356373825092,0.00022798271321226664
BierwischManfred+BaumgärtnerKlaus+BaumgärtnerSabine,0.0002550747113512,0.0329295115529794,0.0002766447789667,0.0003669280498103,0.0002779136408595,0.0005028774902909,0.0002331598090045,0.0003214896504473,0.0002818006215702,0.0003425663821637,0.0001318242008797,0.000298350166553,0.0001203897067399,0.0003458817842452,0.0166108737426633,0.0004681668268089,5.749351262323604e-05,0.0002013031573725,0.0002330750813206,0.0003639376150186,0.0002332938494469,0.4914849985619753,0.0002904395209507,0.0002931266005453,0.3921210687220466,0.0003747274692131,0.0002371871419736,0.0002663224716739,0.0003255852701305,0.0002606084945276,0.0001660575627132,0.0006673955290282,0.0003862902058273,0.0003026523447286,0.0002773705416792,0.0399776246768607,0.0003596881139867,0.0003831588041372,0.0166309933662957,0.0003421482705892
