sender_norm,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79
BaumgärtnerKlaus,0.012821813656603388,0.00323673788039349,0.1241672251927341,0.0027571037320727456,0.007653153871829546,0.0009442525990293821,0.00034668900568109135,0.0014561577753650968,0.0001082035417910917,0.006675050726565776,0.0011653752989848273,0.00272013950921902,0.006990557773439655,0.0039752497744141285,0.009119872382228389,0.0035367845815273595,0.026722246401861244,0.018257840703217225,0.00011161099159494291,0.006948797972809927,0.004283011413720325,2.045202021267867e-05,0.009437964894554748,0.006483835238254758,0.0012500495901514143,0.006508363704002271,0.00894973767567888,0.004308277730001006,0.003415539843961918,0.0057272502607985856,0.0015467756905207537,0.006219836194096063,0.0043391786796983375,0.014649374271224265,0.015273673591334719,0.011591598004508373,0.0014451759597608397,0.0030108945464168736,0.13283729595751012,0.0026988994150805804,0.002073491582509499,0.001856863687307857,0.03608620869765775,0.0017629404280979958,0.022203106188110576,0.0024051713401954103,0.09812808012545375,3.8725542062256266e-05,0.001715051685647029,0.0003400169488186096,0.004488020922942845,0.0019123751212456672,0.00395180719291092,0.000333305647316308,0.006929287810011271,0.010081385512005154,0.004305665216175955,0.2548458103184654,0.004060702526746143,0.0019524280831372043,0.0001976547651046617,0.0029263075639089386,0.00830037789530436,0.0001259204512787853,0.004026542130516328,0.0009969682756621665,0.0001410874703160136,0.003861413918282501,0.0008676833682196995,0.004187438270294685,0.0016727471240791277,0.00018399802123597576,0.0006186928286423818,0.009159382874258814,0.0024891233697009497,0.004097745429090345,0.0001478768934580908,0.003919142978152026,0.00504227143171484,0.003855132311108351
BaumgärtnerKlaus+BaumannSabine,0.0004526175357907167,0.00079089946411815,0.09538508908791672,0.00026070323613057016,0.0002723219483134333,0.00031874099943325,0.00027307339891625,0.007389663537956534,0.0001363105408310902,0.00034641007922248335,0.00033450361299613334,0.00041478242352191663,0.0004361757955345333,0.00030182779834586664,0.0004171015639138833,0.07474882471820482,0.0364013820028955,0.00031788122418718336,0.0001406031112768183,0.00039833188955593334,0.0006841813426371334,2.5764645871398664e-05,0.00040658963902848335,0.00042301916135046663,0.0004108691419193167,0.0007457358836026,0.00037977035645775,0.03111848506063862,0.00033861324739971663,0.0003137261086062,0.00029650356103243334,0.0006895371611568999,0.04322653073273383,0.0007587148868293166,0.0003454212410406333,0.00027653619279278333,0.00039564395020706667,0.0007952508351238501,0.08329516414370852,0.00039967347758930005,0.00025790840774836014,0.00045634001821776666,0.0021130826173262336,0.00030191251863873335,0.011818120097448566,0.00032220375694198334,0.11671616678659864,4.8784905698140196e-05,0.0003094830817454167,0.00042833989921223334,0.007777250181315583,0.0005421129335313167,0.0002412712724118096,0.011922904742064718,0.057478046993505366,0.0002816373883225333,0.00045081929962705,0.3309353781667916,0.0003201207374417167,0.02867181807819368,0.00014170865351192772,0.0015228786451450833,0.0003501772737962167,0.00015862960242691218,0.0007495894362473666,0.00041899241038363336,0.00017773641292071317,0.00024259982185548539,0.02868651560411418,0.0005413100160363667,0.008109990270523233,0.00023179342719620828,0.0002970610266613,0.0003371507397798834,0.0002428559205368339,0.00022982864818406635,0.00018628945956879339,0.0002746908597703,0.0004306966237687333,0.0004128285259994333
BaumgärtnerKlaus+BaumannSabine+KrienkeGisela,0.0004022609142642,0.0007029067951851,0.0417428267994593,0.000231698318834,0.0002420243743128,0.0002832790064607,0.0002426922211871,0.0002554655254526,0.0001211451135731,0.0003078697225792,0.0002972879275511,0.0003686352023793,0.0003876484237075,0.0002682475081326,0.0003706963234376,0.0002268640283732,0.0065121989896584,0.0002825148867588,0.0001249601078575,0.0003540148964698,0.0539885862007733,2.2898162762996714e-05,0.0003613539180275,0.0003759555499741,0.0003651572986068,0.0006627679544354,0.0003375184537034,0.0003943945784566,0.0003009403386084,0.0002788220545985,0.0002635156265767,0.0006128217025033,0.0006675202801657,0.0006743029598017,0.240519350912412,0.0002457697569,0.0003516260077183,0.0007067740480877,0.2338602904033449,0.0003552072241774,0.0002292144331439,0.0004055692465006,0.0018779885407588,0.0002683228027462,0.0002800436449511,0.000286356509852,0.013502864003976,4.335727013789605e-05,0.0002750510918556,0.0003806843214148,0.0005999306537023,0.0004817993715064,0.0002144282864704,0.0003731703216948,0.0002786490196432,0.0002503034115099,0.0004006627434775,0.3829462512197483,0.0002845052397125,0.0002336922639833,0.0001259426513851,0.0013534485689762,0.0003112177924475,0.000140981035545,0.0006661927744821,0.0003723768010363,0.0001579620900781,0.0002156090262155,0.0002467545953044,0.0004810857837639,0.0008956512608661,0.0002060049126941,0.0002640110705571,0.0002996405443987,0.000215836632266,0.0002042587280255,0.0001655635550952,0.0002441297290839,0.0003827788451569,0.0003668986885644
BaumgärtnerKlaus+BaumgärtnerSabine,0.0002650603942083384,0.005134809845935636,0.11526559586041228,0.00015267217258702566,0.0031260384384435833,0.00018666005684588654,0.0009610837280622879,0.00016833301591572645,7.982573106524162e-05,0.015486068691472869,0.0008283732735009599,0.00024290352007095466,0.006415586412361166,0.023661175688126194,0.0029430556711153625,0.01153416933068714,0.018011452897783796,0.016490254266235984,8.233953206618709e-05,0.010421148004277913,0.020806104395662616,1.5088207263956578e-05,0.0002381056885337837,0.0029372223071987844,0.00024061183695618204,0.001472907788710295,0.007463235554305688,0.00025987705673705754,0.0003663910283949966,0.00018372325295646868,0.0014386021746107338,0.0004038044868020013,0.0004398468315680986,0.0029010213861165907,0.02290040068468935,0.030276289086576872,0.00023169571020889432,0.0014544123571239597,0.13334291884377342,0.004540421561994045,0.0011872278650862974,0.0002672403421368322,0.05393784228648054,0.01868753903866959,0.010519747401658236,0.0013278701824630645,0.10662338630320757,2.856925618928201e-05,0.016837858997114596,0.0021045678631807715,0.006485607113181173,0.0014578196769203385,0.00014129248983891645,0.00024589183057024846,0.0001836092356312666,0.019679756832287575,0.00026400731705437626,0.20939008088366745,0.0187360610065415,0.015632807000666094,0.0013549625211550832,0.003093694340340811,0.00020506966455260226,9.289614658641527e-05,0.0026934387551762703,0.0015103336921234833,0.00010408541417123982,0.0001420705105990912,0.0001625931528140866,0.004971396263364547,0.002875438309174371,0.00013574210526377028,0.00017396390242198907,0.005595029155836868,0.014505562682748954,0.01451171348297406,0.00010909422124776942,0.00016086355878579633,0.00025222314173246657,0.00024175928502349726
BaumgärtnerKlaus+BierwischManfred,0.0007020801799381,0.001226808053539,0.0262717725514106,0.000404391258534,0.0004224136878369,0.0004944168542759,0.0004235793045722,0.0004458730036096,0.0002114388450879,0.0005373358995648,0.0005188671189949,0.0006433920374576,0.0006765764841138,0.0004681818493903,0.0006469893848313,0.0003959538006646,0.011365970881896,0.0004930832091744,0.0002180972893431,0.0006178747012219,0.0010612716524776,3.996497214327122e-05,0.0006306837547321,0.0006561684986406,0.0006373219291776,0.0011567523172325,0.0005890828770724,0.000688350786245,0.000525241801002,0.0004866379787887,0.0004599231293995,0.0010695793598304,0.0011650467191632,0.0011768847694693,0.0005358020577806,0.0004289506363384,0.0006137052893179,0.001233557706606,0.4547480811203477,0.0006199557128784,0.0004000560451181,0.0007078543290276,0.0032777197233525,0.0004683132637386,0.0004887700635728,0.00049978812963,0.0235670254141672,7.567297477985655e-05,0.0004800563843379,0.0006644217904377,0.0010470801570968,0.0008409014583483,0.0003742492611402,0.0006513073413615,0.0004863359747702,0.0004368633838399,0.0006992908360229,0.0162012148514675,0.000496557042476,0.0004078713614214,0.0002198121572613,0.0023622215859124,0.0005431794041466,0.0002460591802322,0.0011627297766112,0.0006499223817321,0.0002756968144129,0.0003763100479165,0.0004306695095861,0.0008396560084602,0.0015632117764681,0.000359547649408,0.0004607878452756,0.0005229732242641,0.0003767072967945,0.0003564999716375,0.000288963919761,0.0004260882378717,0.000668077436695,0.419891476525342
BaumgärtnerSabine,0.0001164116435002,0.000203416569578,0.0043561124608912,6.70519584062586e-05,7.004025044890401e-05,8.197906766935709e-05,7.023352090964687e-05,7.39300305374681e-05,3.5058593248776075e-05,8.90954579938611e-05,8.603315661999873e-05,0.0001066805852602,0.0001121828855448,7.762905164093966e-05,0.0001072770600389,6.565294677537869e-05,0.0714004527582328,8.175793649011164e-05,3.6162627319301496e-05,0.0001024495655934,0.0001759690428463,6.6265765970606085e-06,0.0001045734298092,0.0001087990453548,0.0155536442175535,0.0001918006549958,9.767560435031192e-05,0.000114135178034,8.709014018177897e-05,8.068925532894047e-05,7.62596764686863e-05,0.0001773465405941,0.0001931759465767,0.0001951388091262,8.88411322799769e-05,7.112413935545043e-05,0.0001017582370158,0.0002045357269464,0.1217455140558656,0.0001027946173325,6.633313834396593e-05,0.0001173690529308,0.0005434774415112,7.765084140327276e-05,8.104277548361183e-05,8.28696767614913e-05,0.1738353106432407,1.254730672421057e-05,7.959796369479388e-05,0.0001101675204803,0.0001736159564778,0.0001394295460622,6.205412545888503e-05,0.0001079930187437,8.063918015926949e-05,7.243614896285297e-05,0.0001159491434628,0.1030981229227176,0.4712454224268408,6.76289929220366e-05,3.644696890655903e-05,0.0312876192781032,9.006436723187633e-05,4.079897764907426e-05,0.0001927917752269,0.0001077633791224,4.571318232685809e-05,6.239582371840485e-05,7.140914506484663e-05,0.0001392230384972,0.0002591955409616,5.961645689515616e-05,7.640305467416025e-05,8.671398834895688e-05,6.246169140146266e-05,5.9111122621006174e-05,4.7912995941015366e-05,7.064952617110954e-05,0.0001107736617745,0.000106178049667
BierwischHedwig,0.000304677761944,0.0005323909473133,0.0114010124370288,0.0001754913856288,0.0001833124772672,0.0002145592838719,0.0001838183133645,0.0001934929837544,9.175691886803362e-05,0.0002331846190359,0.0002251698268645,0.0002792092009241,0.0002936100674169,0.0002031742272907,0.000280770321403,0.0001718298297929,0.0049324260527083,0.0002139805294555,9.464644623491626e-05,0.0002681355869449,0.2834783840308471,1.734337276098571e-05,0.000273694259398,0.0002847537294694,0.0002765749903904,0.0005019892559408,0.0002556409619792,0.0002987196946708,0.0002279362115347,0.0002111835293048,0.0001995902373203,0.0004641593010122,0.0005055887306007,0.0005107260222892,0.0002325189863983,0.0001861492798095,0.0002663262108596,0.000535320056052,0.4197156030351676,0.0002690386717951,0.0001736100575998,0.0003071835367429,0.0014224134765901,0.0002032312564316,0.0002121087780711,0.0002168902258361,0.0102272486306322,3.283937255941993e-05,0.0002083273520125,0.0002883353637974,0.0004543954493464,0.0003649212464132,0.0001624108336222,0.000282644160559,0.0002110524703302,0.0001895831300569,0.0003034672861527,0.2496174609211154,0.0002154880492317,0.0001770016261816,9.539063775930688e-05,0.0010251199315654,0.0002357204916453,0.0001067809097609,0.0005045832601552,0.0002820431374674,0.0001196425861186,0.0001633051415955,0.0001868952095041,0.0003643807655744,0.0006783781669222,0.0001560308583893,0.0001999654931748,0.0002269517301278,0.0001634775334427,0.0001547082749169,0.0001254000367352,0.000184907100948,0.0002899217839129,0.0002778939422849
BierwischManfred,0.010852746565343251,0.01792653100855505,0.18894392394430476,0.0025977373488858912,0.0019065539156875393,0.004839644093606014,0.0013315080070404868,0.0007435588583895858,6.694669242178997e-05,0.006041458921804673,0.006828296230025881,0.006518537159904213,0.003765612442714475,0.005902112285854665,0.0019920634705223993,0.0007681689087876076,0.15377507360085163,0.0014381710852356677,0.006147399944876616,0.0013578386434770918,0.00720601175515157,1.2653884373081762e-05,0.007746959528288552,0.008487632738760941,0.0026000072386462383,0.004484219906000047,0.005202937116541438,0.008816454400199894,0.00355205702894733,0.0006362975005982508,0.0022412265840629324,0.02098577620958027,0.012765364990133296,0.004205200766632981,0.0009733796723450413,0.0005061734983343413,0.000756427054457445,0.0027971700079437887,0.12354463855545335,0.0015680835786587432,0.008497523692138471,0.012450939062609018,0.01959703053124648,0.0020828990974782126,0.0010638784447229667,0.00881137444269312,0.08282403995617367,2.3959908431780506e-05,0.0027249780590266003,0.004810748116945779,0.022205288047118677,0.001982833686621488,0.007287143805259603,0.008081080201028835,0.0020804076770063566,0.0031240531627887793,0.008353778478619733,0.08699206469906962,0.0054619045871392045,0.00031690916206640564,0.00097812505697343,0.006860127573906208,0.004265896124912743,0.00017771773603711752,0.0013611527275962727,0.00848264922650999,0.0010733223181739926,0.007795896353619361,0.002761892980640765,0.0019604970163048245,0.002069085203583371,0.00026084528799200237,0.004828662088545733,0.0031883680072449187,0.0005846016533395313,0.001207306842247477,0.0016023133744890428,0.004012819018982395,0.010252955765221545,0.004670375682092984
BierwischManfred+BaumgärtnerKlaus,0.00039937652315386664,0.0006978666383129667,0.1085295428878957,0.00023003693800523333,0.00024028895103656665,0.00028124776897530003,0.00024095200914926666,0.0002536337230962333,0.00012027644879298498,0.0003056621586338667,0.00029515623982053336,0.0003659919226994333,0.000384868810706,0.00026632405322956666,0.0003680382645956,0.00022523731157446665,0.14165911827289746,0.0002804891283542,0.00012406408785790773,0.00035147645093826663,0.000603701677956,2.2733972669516088e-05,0.00035876284842103334,0.0003732597801198334,0.0003625389570563,0.0006580156110478,0.08154133845671833,0.0003915665925009,0.00029878246145296664,0.0002768227754562,0.00026162610138603335,0.0006084274961356334,0.0006627338604719667,0.0006694679052538334,0.00030478963663943336,0.00024400747755130001,0.0003491046915902333,0.0007017061612783334,0.14813000694590808,0.00035266022912166666,0.00022757086288923334,0.010743893665898866,0.0018645225209189666,0.0002663988079470333,0.0313336737758488,0.010625535738021467,0.1825127591049065,4.3046379071626317e-05,0.00027307885220686666,0.0003779546441491667,0.0005956288819342666,0.0004783446539963,0.00021289073951673334,0.00037049452317609996,0.00027665098123903336,0.00024850862382496666,0.0055684060783352,0.17585132953552315,0.0002824652095849,0.00023201658567383333,0.0001250395861078404,0.0013437437359133666,0.0003089862213401,0.00013997013831085642,0.0006614158735992333,0.0003697066924164333,0.0001568294310694518,0.03123776061103053,0.00024498525422273333,0.0004776361829978667,0.0008892290397574,0.00020452776510706668,0.010603350525544966,0.00029749198735043333,0.00021428898684156667,0.03639710796593441,0.00016437639017416613,0.00024237920947,0.0003800341492168667,0.0003642678604671333
BierwischManfred+BaumgärtnerKlaus+BaumgärtnerSabine,0.000464210400899,0.0008111567234525,0.017370708384753,0.0002673806120844,0.0002792969136279,0.0003269048930492,0.3082865601044484,0.0002948080456764,0.0001398018543303,0.0003552826592775,0.0003430712334639,0.0004254062202266,0.0004473475393608,0.0003095584951826,0.0004277847606188,0.0002618018251993,0.0075150987742701,0.0003260230964327,0.0001442043701189,0.0004085343397458,0.0007017052372891,2.6424554161583053e-05,0.0004170035944477,0.0004338539251145,0.000421392707983,0.0007648363709267,0.0003894973912419,0.000455132623841,0.0003472861276807,0.0003217615561318,0.0003040978885063,0.0007071982340592,0.0007703205702468,0.0007781478045649,0.0003542684940441,0.0002836190972919,0.0004057775543717,0.0008156195458561,0.2390748850443153,0.000409910289791,0.0002645141999347,0.0004680282270396,0.0021672048724497,0.0003096453854111,0.0003231712753643,0.0003304563419531,0.1079842966422237,5.003443048752627e-05,0.000317409852885,0.0004393109427079,0.0006923219218953,0.000555998038758,0.000247450938674,0.0004306397626388,0.0003215618732317,0.000288850949429,0.0004623661066231,0.2571173215495703,0.0003283199702025,0.0002696816312595,0.0001453382285393,0.0015618840422265,0.0003591463427742,0.0001626925726782,0.0007687886243784,0.0004297240372228,0.0001822887647341,0.0002488135161728,0.0002847556040075,0.0005551745561867,0.0010335844625444,0.0002377303379917,0.000304669632468,0.0003457861609432,0.000249076174294,0.0002357152352156,0.0309917101293759,0.0002817264998682,0.0004417280299056,0.000423402277647
