sender_norm,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79
BaumgärtnerKlaus,0.0009773692812026287,0.0005720728502531603,0.001706158658053961,0.00011862081395243364,0.0011497108150813164,0.00035192912173179626,0.0008195332009572087,0.0008207857133463784,0.003544993130220573,0.004921232438436132,2.110773833143418e-05,0.00259840697402147,0.004380562439134613,0.003132404477060856,0.001998048065271086,0.10110194142415066,0.022119068189299058,0.0021669246886725163,0.002689693172246525,0.0007539304337575646,0.004398821465546547,0.0033253490376606437,0.0008113847560523187,0.002086003989681616,0.006015296315464662,0.0017940687685389822,0.0055871673499555,0.0074206041508411615,0.001291897938023801,0.0029340433250731666,0.0037337669497695186,0.003875816041305014,0.016297238158024027,0.0019745432536357405,0.0007475606450477448,0.0005161125813725395,0.0025501429304465124,0.007949855197333967,0.012152852891292584,0.002208679422407888,0.012930493578173198,4.669046501486496e-05,0.0035222856325298362,0.01776773382428314,0.0014893912213348958,0.0005330235917802984,8.956155600972623e-05,0.0014077120993722563,0.09443611972887629,0.006495969562816689,0.4762190936985058,0.0036729995427021798,0.0011000834158790094,0.001247582289303187,0.015382340430526492,0.0007566265230213648,0.006517664323824047,0.005529791038338795,0.0001727311318352216,0.006761600934016236,0.002476241963620517,0.0031955601631883206,0.0004805605761403523,0.0040161409318494766,0.0022085231996245764,0.010992218328776213,0.000666946313966324,0.00018612168993685952,0.006303985411258419,0.0017104227211599753,0.0017392337993363137,0.007425028128650749,0.007015937613282709,0.0029608463773456084,0.0041417639738280925,0.008597440643923785,0.0004838726634011328,0.0035470044796493292,0.031899068009403245,0.0002578896308566985
BaumgärtnerKlaus+BaumannSabine,0.0016667799733681942,0.0002053675297857805,0.0002452702690872938,0.00015501168792456322,0.0003372243406418105,8.603142291952723e-05,0.0016488377387601802,0.0004916637683925166,0.005620592385756094,6.25934004125818e-05,2.758323803390502e-05,0.0016629865203429198,0.00565353365594741,0.00017165433604986516,0.0002394197507680632,0.054098639632504435,0.07284297537729938,0.00021358526319412854,0.00024617535260295075,0.00011497391456238145,0.0001793816496588389,0.013872318624125766,0.00017764399526544504,0.00015565143954110618,0.00013671989967876737,0.02695278454673782,0.00020242724768555613,0.00016012390246983551,0.00035575246536298337,0.0001589144082241932,0.00015381084857353337,0.00024469723756049763,0.00021234663907599119,0.009858463287420067,0.0002545156239879027,0.017791358851263598,0.026609040798699288,9.414566075293444e-05,0.00022999205848050423,0.0008364658878712333,0.00035343367040801665,6.1014315707184356e-05,0.005526407329738754,0.03434664726524984,0.00018924465040896863,0.0002149062388686964,0.00011703753757571164,0.00016864460001209133,0.058077033699633324,0.00041658982817636666,0.4708375430054644,0.009806925447820023,0.00015282525404583202,0.006058809188051381,0.00020679275649252058,0.006989084859720547,0.00023841353769773688,0.0001926025636051907,0.012329095622096407,0.0024055223091736045,0.0003977892324598333,0.000245957225473599,0.0001516810497983916,0.0002879581075280878,0.0002360659367188583,0.05779538775888962,0.00013167924746749105,0.00010402865688799494,0.00022609018979598942,0.00013815065718142215,0.0002496860161528652,0.0002497147685445479,0.00020534725433597173,8.832974852091603e-05,0.00016488830799050666,0.00018651148386302318,0.00024193796733963833,0.00034016140972275,0.08521717395965384,0.00022543271093532376
BaumgärtnerKlaus+BaumannSabine+KrienkeGisela,0.0001806353161536,0.0001798759766875,0.000214825728539,0.0001357706293322,0.0002953658628461,7.535264332980802e-05,0.0001649201883657,0.0004306352646581,0.0002309753886385,5.482390057061138e-05,2.4159427182714244e-05,0.0001773127311829,0.0002598277741893,0.1816588213531587,0.0002097014145937,0.0375517779587186,0.0002760913456785,0.0001870736715935,0.0002156184672039,0.1059806456952073,0.0001571156329623,0.0003322531550186,0.0001555936675305,0.0001363309708184,0.0001197493367768,0.0001474670562712,0.0001773006615193,0.0001402482825684,0.0003115941562569,0.0001391889186127,0.0001347188459692,0.0002143238254112,0.0001859887935544,0.0001671890035943,0.000222923489876,0.0002319426370452,0.0002795980315056,8.245968920451722e-05,0.0002014439487718,0.0158583444589442,0.0003095631852086,5.344082212606727e-05,0.000148481194166,0.0001829026614541,0.00016575437393,0.0001882306791783,0.0001025100774328,0.0001477113357301,0.1317320789361278,0.0003648799900329,0.4526415064350124,0.0001859652525781,0.0001338555898427,0.0001897380391907,0.0001811242949886,0.0002124826620694,0.0002088200992321,0.0001686954811072,0.0001977040427655,0.000137242725508,0.0003484130464983,0.0002154274154321,0.0001328534116661,0.0002522148749159,0.0002067638977508,0.0001994833804774,0.0001153343630923,9.111594359997188e-05,0.0001980264053984,0.0001210024993554,0.0002186933643676,0.0002187185478255,0.0153055643737415,7.736568581380721e-05,0.0001444212990977,0.0001633604657869,0.0455890255211002,0.0002979383638159,0.0003541534254491,0.0001974505370888
BaumgärtnerKlaus+BaumgärtnerSabine,0.0005196487253942035,0.00012243058935736942,0.016981858406041928,0.0006091657147462059,0.0007258130397388658,5.128794129373707e-05,0.00011225109784178706,0.002171414740880964,0.007819142638978888,0.0006578256466308697,1.6443846271114243e-05,0.00012068594472177306,0.0003369218041436467,0.0005913176889268248,0.0001427309430118005,0.09114381327490576,0.02676580117885131,0.007705946932868727,0.00014675831927218476,0.002297547203322425,0.005216017689761599,0.0019706980838938007,0.011821599692707147,0.0005970708046083428,0.01588542000762946,0.00010037181697390818,0.006963456689012529,0.0012044503938642476,0.0015160440171094294,0.00302352045555174,0.051616186340474525,0.005398235133344763,0.01354514111926477,0.00011379534177419176,0.004734604552128934,0.0010682807359710929,0.0006361063187806564,5.612527327688574e-05,0.01394852927239341,0.004104374947074664,0.009577700070473911,3.637390311437689e-05,0.007955361190958741,0.00878878271473801,0.00855043113814802,0.008214696962956321,6.977234773811422e-05,0.00010053808307941427,0.07979367787870906,0.0034116145089541235,0.4427795817592569,0.0015385553815531593,0.00022633102547453502,0.0008351331898999889,0.00012328024336965028,0.0018463684437903056,0.0017364592370565472,0.01185002561381602,0.001760829562944382,9.341273959085615e-05,0.0008474266572794647,0.002387649024709371,9.042520178595965e-05,0.00017166725845937515,0.0029310702818532088,0.00043330212640733034,0.0005737581657562508,6.201705686455068e-05,0.010865172970706802,0.0005024157709693872,0.0013227934778005273,0.01737675501099393,0.004977547526775054,5.2658096343098975e-05,0.007685998460723276,0.00011118948996021562,0.012738058080488973,0.01121919273156905,0.0243562319754474,0.00944691027668575
BaumgärtnerKlaus+BierwischManfred,0.0002534835532465,0.0002524179805219,0.0003014625830562,0.0001905254314741,0.0004144836680679,0.0001057415359547,0.0002314306871944,0.0006043057324734,0.0427755995351097,7.69337769345867e-05,3.390265855579565e-05,0.0002488210062857,0.0003646134589629,0.0002109809710364,0.0002942716896336,0.0314702600079304,0.0428389102616172,0.0002625184266517,0.0003025750245092,0.000141314858083,0.0002204786404005,0.0004662471996332,0.0002183428830425,0.0001913117525214,0.0001680429277699,0.0002069388988067,0.0002488040690595,0.0001968088730331,0.0004372566537967,0.0001953222792407,0.0001890494754443,0.0003007582679148,0.0002609960292267,0.0002346144906613,0.0003128260825132,0.000325482552579,0.0003923568436999,0.0001157147752955,0.0002826840786287,0.0010281032761713,0.0004344066144532,7.499291815897759e-05,0.000208362027365,0.0002566652939793,0.0002326012906258,0.0002641420426753,0.0001438512646616,0.0002072816934857,0.0575037551685741,0.000512032078508,0.422929478063526,0.0002609629944334,0.0001878380776126,0.0002662573044087,0.0002541697318698,0.0002981745836391,0.0002930349494759,0.0002367285139929,0.0002774359096467,0.0001925912078534,0.0004889241976842,0.0003023069236582,0.0001864317319953,0.0003539303611091,0.0002901495045432,0.0002799328346957,0.3822251162480092,0.0001278620019215,0.0002778882775853,0.0001698014770392,0.0003068899938935,0.000306925333563,0.0002523930598926,0.000108566416341,0.0002026648212503,0.0002292419456472,0.0002973668388141,0.0004180936303966,0.0004969796083558,0.0002770801679177
BaumgärtnerSabine,6.281683731628523e-05,6.255277320787675e-05,7.470672473324232e-05,4.721491741868982e-05,0.0001027149604533,2.6204259710626152e-05,0.3419599642376913,0.0001497555734875,8.032285004465396e-05,1.9065286437450657e-05,8.401561994114826e-06,6.166139172558803e-05,9.03564118526173e-05,5.228409166861168e-05,7.29247188535713e-05,0.0025387387747397,9.601215042120266e-05,6.505580771733298e-05,7.498240358057056e-05,3.501983594945228e-05,5.463774950435504e-05,0.0001155427013446,5.410847839077438e-05,4.740977898137599e-05,4.1643432564687466e-05,5.128240855971678e-05,6.165719443954152e-05,4.877204379292577e-05,0.0001083584308931,4.840364466320961e-05,4.6849154478152206e-05,0.015854652758398,6.467853593716354e-05,5.814081467284134e-05,7.752276185910336e-05,8.065921553010008e-05,9.723161800821951e-05,2.867577056474562e-05,7.005314369194974e-05,0.0107748590270664,0.0001076521505231,1.858431397040164e-05,5.1635080099866406e-05,0.0211037660820118,5.764191501053807e-05,6.545816290888167e-05,3.564839365024217e-05,5.136735796692464e-05,0.0668506520237935,0.0001268888468873,0.536131248207581,6.467034944454526e-05,4.6548952829778e-05,6.598235491457895e-05,6.298688215903116e-05,7.389191161486212e-05,7.261823701561371e-05,5.866469978490916e-05,6.875257261770658e-05,4.772684624834319e-05,0.0001211623846698,7.491596436855163e-05,4.620044034161058e-05,8.770898794158642e-05,7.190318263594873e-05,6.937134623273717e-05,4.010810331901091e-05,3.1686026453274136e-05,6.886467584036395e-05,4.2079226137662254e-05,7.605171449391432e-05,7.606047216771637e-05,6.254659752073781e-05,2.6904305332494485e-05,5.022323122413696e-05,5.680942144514805e-05,7.36917409346898e-05,0.00010360956057,0.0001231586302455,6.866441474698409e-05
BierwischHedwig,0.000134013272422,0.0001334499187607,0.0001593791263802,0.0001007281783156,0.0002191318214214,5.5904097456194765e-05,0.0001223542250872,0.0003194881392302,0.000171360553072,4.067383100302977e-05,1.7923869847496418e-05,0.0001315482478947,0.0001927661269496,0.0001115427410782,0.0001555773998111,0.005416138499853,0.0002048320644581,0.0001387898858767,0.0001599672588944,7.471122418406806e-05,0.0001165640283987,0.0002464984894689,0.0001154348828231,0.0001011438954513,8.884198745605909e-05,0.0001094057530176,0.0001315392934159,0.0337693170974689,0.000231171586137,0.000103264205834,9.994786063827948e-05,0.0001590067646403,0.0001379850152717,0.0001240374582432,0.0001653868524393,0.0001720781542974,0.0002074336733409,6.117681209032387e-05,0.0001494511890553,0.0005435440787498,0.0002296648094879,3.9647725630522285e-05,0.0001101581415364,0.000135695415039,0.0001229731070404,0.0001396482693643,7.605218749880545e-05,0.0001095869838553,0.007957934111409,0.0002707043259695,0.8856805884919483,0.0001379675502303,9.930741124598406e-05,0.0001407665791847,0.000134376045634,0.0001576408062566,0.0001549235522792,0.0001251551133377,0.0001466765542102,0.0001018203259091,0.0227019988067635,0.0001598255176575,9.856389563751558e-05,0.0001871181198712,0.0001533980571815,0.0001479966441826,8.556652015702135e-05,6.759888393737323e-05,0.000146915714925,8.97717082969988e-05,0.0001622485239319,0.0001622672075297,0.0001334367435663,0.0337226645228288,0.0001071461069278,0.0001211970674985,0.0001572137626638,0.0002210403589135,0.0002627462917803,0.000146488478445
BierwischManfred,0.008026937933920845,0.0036098989652882042,0.004688252755639321,0.0044687370415691305,0.015220978434679896,0.0005009749425645191,0.003177719496545412,0.0038789137816242904,0.005352566071499721,0.00022959381027083884,0.00013869464212577182,0.0005160648226217185,0.006424472129805675,0.00393503168238503,0.0012212271076969075,0.19916683574912855,0.0015373293116666643,0.005430720021193568,0.0018458230706711676,0.002715736785944215,0.0010526456407747163,0.003782826221750502,0.00014110803667869803,0.0014485480079851926,0.0027921055540428073,0.006490243098307438,0.0006747665258734992,0.0006793777256852434,0.001581491304985932,0.0021459622517003086,0.0009358331379337833,0.008171271894551196,0.0016570677170624644,0.003165263614635674,0.0017044982320615974,0.014069200397730457,0.0010653772179672466,0.0016692523325770017,0.0005416047947466874,0.04344905785678227,0.0031489777030776324,0.0024193484186644035,0.0020590093447285505,0.0008066512446819718,0.005797148594228502,0.000531442771235763,0.006550425377756475,0.0005213052131347158,0.07123742802364207,0.017879431520807683,0.4080966137914446,0.004183515558262763,0.0014543743697650181,0.005534739718717392,0.0008626360397836966,0.0006047321436586633,0.0069318805495595225,0.005120604280906405,0.007787377168494639,0.008086427379422223,0.003610850276886913,0.0050698914508080116,0.001170563050061162,0.004549892710418454,0.0005456781779579815,0.004983234886191916,0.002931446661490296,0.000406976715313661,0.0022248062507430467,0.003034164046115948,0.0068460017784293704,0.006369793983109019,0.006619618378397382,4.366300617163899e-05,0.0020430989043909347,0.001115703836142249,0.006508821872851024,0.00510813164742938,0.003348458433649641,0.004551124600793514
BierwischManfred+BaumgärtnerKlaus,0.0001576769188958092,0.0001570140899986076,0.0001875217963844,0.00011851444648533461,0.0002578254363115667,6.577546896085523e-05,0.00014395915327603293,0.00037590236031936664,0.00020161886610433333,4.785588946778522e-05,2.108881098986871e-05,0.00015477662801080807,0.031938823773553664,0.022297986912978466,0.00018304877277216668,0.13367175386525113,0.00024100067277746666,0.00016329697188507538,0.0001882137795072,0.03179992310355138,0.00013714654168071915,0.000290024425413,0.00013581801509429873,0.00011900356965881139,0.00010452942904439477,0.0001287242803158067,0.00015476609237801653,0.00012242299870654,0.0002719911452019333,0.00012149827784859817,0.00011759634274162083,0.00018708368416763332,0.0001623499797341674,0.00014593960650307166,0.00019459034800956669,0.0002024631791203,0.00024406166565813336,7.19792231316277e-05,0.00017584081479136667,0.0006395214001745,0.0002702183066226,4.664859760276859e-05,0.00012960952325717325,0.0001596560890197087,0.00014468731547805116,0.00016430692605685777,8.948124602410267e-05,0.0001289375123306849,0.042136927958885705,0.0003185044531724,0.5447388092889867,0.0001623294307701032,0.00011684280478928402,0.00016562270354423481,0.00015810374947219786,0.00018547652910460002,0.0001822794708784,0.00014725461365491257,0.00017257624356249997,0.0001197994421011998,0.00030413042612470004,0.10855679805372426,0.00011596800150914293,0.017663185544262335,0.00018048460860506667,0.00017412943091286667,0.00010067558992589334,7.95352844341309e-05,0.00017285763453186664,0.00010562331709729055,0.0001908978632236,0.05509697752715023,0.00015699858836938977,6.753265766152493e-05,0.00012606563295350926,0.00014259766840252135,0.00018497407948356664,0.00026007097741293335,0.00030914121407873334,0.0001723549579641
BierwischManfred+BaumgärtnerKlaus+BaumgärtnerSabine,0.0002291628058339,0.0002281994706106,0.0002725384369215,0.0001722452675929,0.0003747155944844,9.559605253369206e-05,0.000209225825322,0.0005463249803054,0.0002930266863982,6.955228439845399e-05,3.064983215033477e-05,0.0002249476118689,0.0003296302352978,0.0001907381787932,0.038644460224912,0.0092616012800744,0.0003502629983405,0.0002373308187617,0.0002735441440035,0.0001277562546744,0.0001993245842325,0.0004215126193069,0.0001973937443714,0.0385513788877801,0.0001519198714674,0.0001870839274555,0.0002249322997028,0.0001779258377107,0.1155305718326615,0.0001765818767309,0.0001709109237242,0.0002719016980407,0.0002359544893666,0.0002121041554004,0.0002828116534135,0.0002942537850826,0.0003547117516653,0.0001046123988856,0.0002555616559474,0.0009294608207789,0.000392727012723,6.77976433692845e-05,0.0001883705124402,0.0002320392710895,0.00021028411397,0.00023879865523,0.0001300493030432,0.0001873938323368,0.205500187579748,0.0004629046195899,0.324783428198639,0.0002359246241314,0.0001698157547377,0.0002407109659408,0.000229783148324,0.0002695659080834,0.0002649194015518,0.0002140153465292,0.000250817028085,0.0001741128408742,0.0004420138488135,0.0002733017663721,0.000168544342437,0.038698394882102,0.0002623108036827,0.0002530743830213,0.0001463188196977,0.000115594147015,0.0002512259931037,0.0001535096948684,0.00027744510909,0.0002774770580576,0.0002281769410173,9.814989678585267e-05,0.0001832199307873,0.0002072470848957,0.0002688356631893,0.0003779791951622,0.2115306214640867,0.0002504954183722
